"varieties_present","galega","cobrancosa","arbequina","picual","cordovilTM","cordovilSE","madural","verdeal"
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"1",0,0,0.471803507364453,0,0,0,0,0
"1",0,0,0.504755720529251,0,0,0,0,0
"1",0,0,0.54946628734017,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"1",0,0,0,0.688813770752776,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"1",0,0,0,0,0,0.426531299594962,0,0
"0",0,0,0,0,0,0,0,0
"1",0,0,0.557252637351345,0,0,0,0,0
"1",0,0,0.702515686784537,0,0,0,0,0
"1",0,0,0.757841182200489,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"1",0,0,0,0.637444198560411,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"1",0,0.596746880036333,0,0,0,0,0,0
"2",0,0.668116964509884,0.615088811621742,0,0,0,0,0
"2",0,0.5575629449846,0.675117595620645,0,0,0,0,0
"3",0,0.699850589369983,0.773581024511398,0.583768123414797,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"2",0,0.598519245681564,0,0,0,0.452532532223443,0,0
"1",0,0.668602423805139,0,0,0,0,0,0
"4",0.528785208637402,0.720296259975171,0.690363285538701,0,0,0.469044748099364,0,0
"3",0.546948325390161,0.738725673039881,0.746846350348808,0,0,0,0,0
"4",0.527849400994024,0.633506565194424,0.749141871876106,0.672157926656183,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"1",0,0,0,0,0,0.498328703917484,0,0
"1",0,0,0,0,0,0.505578910247975,0,0
"2",0,0.616723666757939,0,0,0,0.477018848109374,0,0
"4",0.557761953390998,0.713360554047764,0.473856448015471,0,0,0.679436919157973,0,0
"4",0.578503088912156,0.746393846054635,0.720461764100198,0,0,0.640596857074582,0,0
"5",0.571289069028296,0.724318017228962,0.769696583781227,0.522460840480195,0,0.495750886957349,0,0
"5",0.604272489783972,0.824210400892293,0.809686591716571,0.794421860160972,0,0.500250382578204,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"1",0,0,0.584052065638175,0,0,0,0,0
"1",0,0,0.602219771462482,0,0,0,0,0
"2",0,0,0.504660008593637,0,0,0.428182889712704,0,0
"1",0,0,0.557597641378116,0,0,0,0,0
"1",0,0,0.492071332274135,0,0,0,0,0
"1",0,0,0.526601486483211,0,0,0,0,0
"1",0,0,0.582983781872564,0,0,0,0,0
"1",0,0,0.598736989328267,0,0,0,0,0
"1",0,0,0.461322363731297,0,0,0,0,0
"1",0,0,0.478433262707619,0,0,0,0,0
"2",0,0,0.720052274906024,0,0,0.490778707882652,0,0
"2",0,0,0.74280911143602,0,0,0.560564048560686,0,0
"2",0,0,0.733115772480603,0,0,0.437102683576925,0,0
"1",0,0,0.759723498444754,0,0,0,0,0
"3",0,0.63584075667642,0.743337082273995,0.557777014596476,0,0,0,0
"3",0,0.585862360320316,0.635839165343267,0.622362174595222,0,0,0,0
"1",0,0,0.546040880098686,0,0,0,0,0
"1",0,0,0.672568969536896,0,0,0,0,0
"1",0,0,0.584915762222147,0,0,0,0,0
"1",0,0,0.51151529129213,0,0,0,0,0
"4",0,0.759950575021531,0.834796303076163,0.523436615017195,0,0.458208362217266,0,0
"4",0,0.688369963736271,0.832216295959846,0.677921470223995,0,0.702714035624737,0,0
"4",0,0.690331031037072,0.814070853440264,0.636531671150875,0,0.456542091545868,0,0
"4",0,0.762709461017717,0.857248534647393,0.574182606551137,0,0.542741546435126,0,0
"4",0,0.72272071718883,0.693741178457849,0.590764423800024,0,0.562919280631914,0,0
"4",0,0.712584893192243,0.69773736965483,0.600212027429107,0,0.618385488485445,0,0
"3",0.527236558624062,0,0.669572995808042,0,0,0.427947875058724,0,0
"2",0.531600883919367,0,0.692998709101583,0,0,0,0,0
"2",0,0.552198988613738,0.611589126587041,0,0,0,0,0
"2",0,0,0.58707668744482,0.630322276363594,0,0,0,0
"4",0,0.761888612287649,0.809169638942422,0.729486559917537,0,0.547016480105831,0,0
"5",0.631254257311728,0.820193691061753,0.836820547387336,0.70499612383894,0,0.773470464695486,0,0
"5",0.593116115623763,0.782264334956573,0.87237092753448,0.68651955700786,0,0.78355684228516,0,0
"4",0.687376395419098,0.818338306433819,0.851099685013507,0,0,0.628338653083055,0,0
"4",0.70467788543297,0.756344569497162,0.776016063479087,0,0,0.831713799333176,0,0
"4",0.563909515777787,0.698903829111253,0.727651076098941,0,0,0.858193901705042,0,0
"5",0.604544866163739,0.710814445823909,0.683219362522347,0.607368985455095,0,0.687008306668837,0,0
"2",0,0.629075195319286,0.653430087520077,0,0,0,0,0
"4",0.521664734982958,0.707063571429757,0.623233043561939,0.560453767765048,0,0,0,0
"4",0,0.702493397833918,0.720128262770748,0.806862322527027,0,0.575106214670995,0,0
"5",0.725329829979509,0.784628349065588,0.849414529414791,0.751272040175384,0,0.594967407063529,0,0
"5",0.768135333018066,0.811532856791444,0.893185432945875,0.693219226960092,0,0.812350480079529,0,0
"5",0.765778161434363,0.848920850150803,0.912677588454687,0.635665557836926,0,0.891313462021756,0,0
"4",0.727121797568456,0.72037141551598,0.836179063198445,0,0,0.651677343935485,0,0
"4",0.74510802238373,0.720186044310718,0.83322455829152,0,0,0.681618783449004,0,0
"4",0.74687259729501,0.759273641245359,0.724605712865317,0,0,0.876732293437557,0,0
"4",0.736768634435516,0.769314587455919,0.825194451979072,0,0,0.777307491666617,0,0
"5",0.736766199096547,0.744771921972729,0.767811460026943,0.637110264796638,0,0.752565947743865,0,0
"5",0.720084612512916,0.7618941453287,0.71295179398882,0.689613809112806,0,0.666629477312611,0,0
"5",0.729132349602817,0.791538083475188,0.802950575448171,0.834600023113595,0,0.63769597973461,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"1",0.522547855540942,0,0,0,0,0,0,0
"1",0.515081015056315,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"1",0,0.548286414607038,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"2",0.556307386076381,0,0.581971643651879,0,0,0,0,0
"2",0.683056257860336,0,0.580799312840606,0,0,0,0,0
"3",0.696744098795188,0,0.490138943178318,0.5577489956857,0,0,0,0
"1",0.535271790674013,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"1",0,0,0.492320222558463,0,0,0,0,0
"1",0.549187736965135,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"0",0,0,0,0,0,0,0,0
"3",0.506790030404797,0,0.486552635248863,0.589180217231946,0,0,0,0
"2",0.550837407449056,0,0.529046627036879,0,0,0,0,0
"4",0.798485201201483,0.650614122196609,0.740644372584727,0.753464639068121,0,0,0,0
